1.01E+03,2.20E+03,1.00E+03,1.06E+03,1.00E+03,1.03E+03,1.01E+03,9.89E+02,1.00E+00
1.01E+03,4.00E+03,9.89E+02,1.06E+03,1.02E+03,1.00E+03,9.96E+02,1.00E+03,1.00E+00
1.01E+03,1.34E+03,1.00E+03,1.07E+03,9.97E+02,1.02E+03,9.87E+02,9.84E+02,1.00E+00
1.01E+03,1.25E+03,1.01E+03,1.06E+03,1.02E+03,1.02E+03,1.02E+03,1.01E+03,1.00E+00
1.01E+03,1.18E+03,9.78E+02,1.07E+03,9.98E+02,1.03E+03,1.00E+03,1.01E+03,1.00E+00
9.96E+02,1.00E+03,9.84E+02,1.05E+03,9.98E+02,1.03E+03,1.00E+03,1.01E+03,0.00E+00
1.01E+03,1.07E+03,9.91E+02,1.08E+03,9.99E+02,1.02E+03,1.00E+03,1.00E+03,1.00E+00
1.02E+03,1.09E+03,9.86E+02,1.05E+03,1.01E+03,1.05E+03,1.01E+03,1.00E+03,1.00E+00
9.99E+02,9.95E+02,9.93E+02,1.05E+03,1.02E+03,1.02E+03,1.01E+03,9.90E+02,0.00E+00
9.88E+02,1.10E+03,9.88E+02,1.06E+03,1.02E+03,1.04E+03,9.81E+02,1.01E+03,1.00E+00
9.84E+02,9.91E+02,9.95E+02,1.05E+03,1.00E+03,1.02E+03,9.94E+02,1.00E+03,0.00E+00
9.99E+02,1.14E+03,9.97E+02,1.06E+03,1.01E+03,1.02E+03,1.00E+03,9.99E+02,1.00E+00
1.02E+03,2.79E+03,1.01E+03,1.03E+03,1.02E+03,1.03E+03,9.94E+02,1.02E+03,1.00E+00
1.02E+03,1.90E+03,9.99E+02,1.07E+03,1.02E+03,1.01E+03,1.02E+03,9.95E+02,1.00E+00
1.03E+03,3.56E+03,9.99E+02,1.07E+03,1.01E+03,1.02E+03,9.84E+02,1.01E+03,1.00E+00
1.04E+03,4.82E+03,1.00E+03,1.08E+03,1.02E+03,1.03E+03,1.00E+03,9.95E+02,1.00E+00
1.00E+03,1.05E+03,9.97E+02,1.03E+03,1.01E+03,1.03E+03,1.01E+03,1.01E+03,1.00E+00
1.00E+03,1.04E+03,9.98E+02,1.04E+03,1.01E+03,1.00E+03,1.01E+03,9.93E+02,1.00E+00
9.99E+02,1.09E+03,1.01E+03,1.03E+03,1.00E+03,1.00E+03,9.89E+02,9.95E+02,1.00E+00
1.00E+03,1.06E+03,1.01E+03,1.04E+03,1.01E+03,1.04E+03,9.82E+02,9.95E+02,1.00E+00
9.97E+02,1.00E+03,1.02E+03,1.05E+03,1.01E+03,1.02E+03,9.91E+02,1.03E+03,0.00E+00
1.02E+03,1.03E+03,9.88E+02,1.06E+03,1.01E+03,1.01E+03,9.99E+02,1.01E+03,1.00E+00
1.00E+03,1.02E+03,9.94E+02,1.03E+03,1.03E+03,1.04E+03,9.97E+02,1.01E+03,1.00E+00
1.00E+03,1.01E+03,9.81E+02,1.05E+03,9.93E+02,1.01E+03,1.00E+03,9.99E+02,1.00E+00
9.97E+02,1.02E+03,1.00E+03,1.05E+03,1.00E+03,1.02E+03,9.95E+02,1.00E+03,1.00E+00
1.00E+03,1.05E+03,9.84E+02,1.04E+03,9.96E+02,1.02E+03,1.01E+03,1.03E+03,1.00E+00
9.89E+02,1.13E+03,1.01E+03,1.06E+03,1.01E+03,1.04E+03,1.01E+03,9.99E+02,1.00E+00
9.94E+02,1.06E+03,9.99E+02,1.05E+03,1.01E+03,1.01E+03,9.95E+02,1.02E+03,1.00E+00
9.86E+02,1.24E+03,9.96E+02,1.04E+03,9.96E+02,1.01E+03,9.97E+02,9.87E+02,1.00E+00
9.99E+02,1.02E+03,9.84E+02,1.05E+03,1.01E+03,1.02E+03,9.97E+02,1.02E+03,1.00E+00
1.00E+03,1.07E+03,1.01E+03,1.03E+03,1.01E+03,1.02E+03,1.01E+03,1.01E+03,1.00E+00
1.01E+03,1.07E+03,1.00E+03,1.07E+03,1.01E+03,1.02E+03,1.01E+03,1.01E+03,1.00E+00
1.00E+03,1.01E+03,1.00E+03,1.07E+03,1.02E+03,1.02E+03,9.90E+02,1.02E+03,1.00E+00
1.00E+03,1.01E+03,9.87E+02,1.08E+03,9.88E+02,1.02E+03,9.83E+02,9.85E+02,1.00E+00
1.00E+03,6.45E+03,9.98E+02,1.05E+03,1.00E+03,9.96E+02,1.02E+03,9.99E+02,1.00E+00
1.01E+03,1.56E+03,1.02E+03,1.06E+03,1.01E+03,1.01E+03,1.00E+03,1.02E+03,1.00E+00
1.00E+03,1.06E+03,1.00E+03,1.03E+03,1.02E+03,1.01E+03,1.01E+03,9.87E+02,1.00E+00
1.01E+03,1.61E+03,9.95E+02,1.02E+03,1.01E+03,1.01E+03,1.01E+03,9.99E+02,1.00E+00
9.90E+02,9.87E+02,1.00E+03,1.07E+03,1.01E+03,1.05E+03,1.01E+03,1.03E+03,0.00E+00
9.93E+02,1.00E+03,1.01E+03,1.08E+03,1.02E+03,1.03E+03,9.94E+02,1.02E+03,0.00E+00
9.90E+02,1.02E+03,1.01E+03,1.08E+03,1.03E+03,1.03E+03,1.01E+03,1.02E+03,0.00E+00
9.91E+02,1.00E+03,9.94E+02,1.04E+03,1.02E+03,1.02E+03,1.00E+03,1.02E+03,0.00E+00
1.00E+03,1.01E+03,9.93E+02,1.07E+03,1.02E+03,1.04E+03,9.89E+02,1.04E+03,0.00E+00
